state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
UT,27000.0,31,837000.0,67000.0,2.06,1724000.0,2017
VT,7000.0,45,315000.0,120000.0,4.17,1314000.0,2017
VA,5000.0,35,175000.0,39000.0,5.73,1003000.0,2017
WA,77000.0,45,3465000.0,1594000.0,2.25,7796000.0,2017
WV,6000.0,40,240000.0,50000.0,3.85,924000.0,2017
WI,53000.0,56,2968000.0,683000.0,2.77,8221000.0,2017
WY,39000.0,53,2067000.0,186000.0,1.59,3287000.0,2017
AL,6000.0,45,270000.0,14000.0,3.57,964000.0,2018
AZ,24000.0,38,912000.0,109000.0,2.82,2572000.0,2018
AR,28000.0,50,1400000.0,84000.0,1.87,2618000.0,2018
CA,335000.0,41,13735000.0,3022000.0,2.06,28294000.0,2018
CO,31000.0,48,1488000.0,283000.0,2.02,3006000.0,2018
FL,215000.0,49,10535000.0,737000.0,2.4,25284000.0,2018
GA,98000.0,34,3332000.0,200000.0,2.79,9296000.0,2018
HI,17000.0,103,1751000.0,18000.0,1.83,3204000.0,2018
ID,96000.0,31,2976000.0,655000.0,1.96,5833000.0,2018
IL,11000.0,41,451000.0,108000.0,5.01,2260000.0,2018
IN,7000.0,46,322000.0,106000.0,3.75,1208000.0,2018
IA,38000.0,49,1862000.0,1005000.0,2.35,4376000.0,2018
KS,5000.0,73,365000.0,95000.0,3.0,1095000.0,2018
KY,4000.0,41,164000.0,34000.0,5.42,889000.0,2018
LA,45000.0,83,3735000.0,261000.0,1.9,7097000.0,2018
ME,12000.0,32,384000.0,92000.0,2.68,1029000.0,2018
MI,92000.0,44,4048000.0,729000.0,2.37,9594000.0,2018
MN,119000.0,61,7259000.0,1161000.0,1.88,13647000.0,2018
MS,20000.0,87,1740000.0,70000.0,2.05,3567000.0,2018
MO,9000.0,45,405000.0,36000.0,2.58,1045000.0,2018
MT,160000.0,92,14720000.0,3680000.0,1.92,28262000.0,2018
NE,40000.0,59,2360000.0,850000.0,1.99,4696000.0,2018
NJ,13000.0,31,403000.0,165000.0,7.35,2962000.0,2018
NY,56000.0,48,2688000.0,833000.0,3.34,8978000.0,2018
NC,10000.0,33,330000.0,63000.0,5.55,1832000.0,2018
ND,530000.0,72,38160000.0,4579000.0,1.88,71741000.0,2018
OH,14000.0,73,1022000.0,491000.0,3.61,3689000.0,2018
OR,93000.0,35,3255000.0,1009000.0,2.22,7226000.0,2018
PA,19000.0,44,836000.0,309000.0,3.73,3118000.0,2018
SC,16000.0,48,768000.0,15000.0,3.04,2335000.0,2018
SD,255000.0,47,11985000.0,5154000.0,1.98,23730000.0,2018
TN,7000.0,46,322000.0,84000.0,3.99,1285000.0,2018
TX,132000.0,56,7392000.0,1035000.0,2.06,15228000.0,2018
UT,26000.0,41,1066000.0,75000.0,2.09,2228000.0,2018
VT,7000.0,48,336000.0,94000.0,3.66,1230000.0,2018
VA,4000.0,40,160000.0,35000.0,6.83,1093000.0,2018
WA,77000.0,43,3311000.0,563000.0,2.11,6986000.0,2018
WV,6000.0,37,222000.0,38000.0,4.16,924000.0,2018
WI,51000.0,45,2295000.0,711000.0,2.76,6334000.0,2018
WY,39000.0,56,2184000.0,175000.0,1.89,4128000.0,2018
AL,7000.0,42,294000.0,44000.0,3.2,941000.0,2019
AZ,23000.0,46,1058000.0,201000.0,1.97,2084000.0,2019
AR,20000.0,55,1100000.0,176000.0,1.53,1683000.0,2019
CA,335000.0,48,16080000.0,3216000.0,1.56,25085000.0,2019
CO,32000.0,46,1472000.0,500000.0,2.14,3150000.0,2019
FL,205000.0,45,9225000.0,830000.0,2.48,22878000.0,2019
GA,102000.0,33,3366000.0,370000.0,2.61,8785000.0,2019
HI,16000.0,80,1280000.0,51000.0,1.28,1638000.0,2019
ID,92000.0,32,2944000.0,677000.0,1.67,4916000.0,2019
IL,11000.0,39,429000.0,116000.0,4.31,1849000.0,2019
IN,9000.0,55,495000.0,198000.0,3.95,1955000.0,2019
IA,38000.0,55,2090000.0,1170000.0,2.24,4682000.0,2019
KS,7000.0,79,553000.0,171000.0,2.95,1631000.0,2019
KY,6000.0,41,246000.0,44000.0,4.5,1107000.0,2019
LA,54000.0,72,3888000.0,428000.0,2.04,7932000.0,2019
ME,15000.0,35,525000.0,110000.0,2.92,1533000.0,2019
MI,94000.0,50,4700000.0,1363000.0,2.36,11092000.0,2019
MN,118000.0,59,6962000.0,3063000.0,1.63,11348000.0,2019
MS,22000.0,80,1760000.0,141000.0,1.85,3256000.0,2019
MO,10000.0,43,430000.0,73000.0,3.32,1428000.0,2019
MT,173000.0,86,14878000.0,5802000.0,1.48,22019000.0,2019
NE,39000.0,52,2028000.0,223000.0,1.46,2961000.0,2019
NJ,15000.0,28,420000.0,155000.0,3.33,1399000.0,2019
NY,59000.0,58,3422000.0,1027000.0,4.49,15365000.0,2019
NC,14000.0,42,588000.0,118000.0,4.06,2387000.0,2019
ND,520000.0,65,33800000.0,6422000.0,1.4,47320000.0,2019
OH,15000.0,67,1005000.0,442000.0,3.42,3437000.0,2019
OR,87000.0,32,2784000.0,1141000.0,2.07,5763000.0,2019
PA,19000.0,50,950000.0,409000.0,4.24,4028000.0,2019
SC,16000.0,47,752000.0,45000.0,5.01,3768000.0,2019
SD,270000.0,72,19440000.0,7582000.0,1.53,29743000.0,2019
TN,8000.0,57,456000.0,91000.0,4.65,2120000.0,2019
TX,126000.0,60,7560000.0,1814000.0,2.3,17388000.0,2019
UT,22000.0,29,638000.0,89000.0,2.06,1314000.0,2019
VT,6000.0,48,288000.0,84000.0,4.34,1250000.0,2019
VA,5000.0,39,195000.0,49000.0,7.51,1464000.0,2019
WA,81000.0,35,2835000.0,1191000.0,2.12,6010000.0,2019
WV,6000.0,37,222000.0,47000.0,4.5,999000.0,2019
WI,46000.0,47,2162000.0,692000.0,2.99,6464000.0,2019
WY,39000.0,56,2184000.0,306000.0,1.35,2948000.0,2019
