state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NJ,10000.0,19,190000.0,101000.0,1.6,304000.0,2003
NM,6000.0,41,246000.0,108000.0,1.2,295000.0,2003
NY,67000.0,72,4824000.0,1640000.0,1.36,6561000.0,2003
NC,10000.0,44,440000.0,79000.0,1.92,845000.0,2003
ND,340000.0,87,29580000.0,6803000.0,1.36,40229000.0,2003
OH,15000.0,50,750000.0,278000.0,1.4,1050000.0,2003
OK,3000.0,47,141000.0,69000.0,1.84,259000.0,2003
OR,42000.0,51,2142000.0,964000.0,1.27,2720000.0,2003
PA,27000.0,50,1350000.0,419000.0,1.44,1944000.0,2003
SC,4000.0,70,280000.0,8000.0,1.89,529000.0,2003
SD,215000.0,70,15050000.0,2709000.0,1.43,21522000.0,2003
TN,6000.0,40,240000.0,46000.0,1.52,365000.0,2003
TX,140000.0,67,9380000.0,1126000.0,1.4,13132000.0,2003
UT,25000.0,57,1425000.0,157000.0,1.28,1824000.0,2003
VT,7000.0,83,581000.0,163000.0,1.96,1139000.0,2003
VA,6000.0,37,222000.0,69000.0,1.68,373000.0,2003
WA,58000.0,56,3248000.0,942000.0,1.46,4742000.0,2003
WV,8000.0,47,376000.0,194000.0,1.89,711000.0,2003
WI,74000.0,77,5698000.0,2678000.0,1.47,8376000.0,2003
WY,39000.0,81,3159000.0,474000.0,1.41,4454000.0,2003
AL,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2004
AZ,32000.0,55,1760000.0,774000.0,1.11,1954000.0,2004
AR,40000.0,57,2280000.0,388000.0,0.87,1984000.0,2004
CA,390000.0,45,17550000.0,5792000.0,1.05,18428000.0,2004
CO,23000.0,80,1840000.0,791000.0,1.35,2484000.0,2004
FL,205000.0,98,20090000.0,2009000.0,1.02,20492000.0,2004
GA,63000.0,49,3087000.0,648000.0,1.2,3704000.0,2004
HI,8000.0,96,768000.0,77000.0,1.59,1221000.0,2004
ID,100000.0,63,6300000.0,2520000.0,1.02,6426000.0,2004
IL,7000.0,55,385000.0,193000.0,1.86,716000.0,2004
IN,7000.0,59,413000.0,145000.0,1.47,607000.0,2004
IA,35000.0,67,2345000.0,1337000.0,1.06,2486000.0,2004
KS,14000.0,80,1120000.0,683000.0,1.18,1322000.0,2004
KY,5000.0,56,280000.0,34000.0,1.96,549000.0,2004
LA,35000.0,98,3430000.0,240000.0,0.79,2710000.0,2004
ME,7000.0,31,217000.0,37000.0,1.28,278000.0,2004
MI,65000.0,67,4355000.0,2439000.0,1.16,5052000.0,2004
MN,135000.0,75,10125000.0,1924000.0,1.08,10935000.0,2004
MS,18000.0,65,1170000.0,421000.0,0.79,924000.0,2004
MO,16000.0,41,656000.0,151000.0,1.36,892000.0,2004
MT,140000.0,77,10780000.0,3773000.0,1.08,11642000.0,2004
NE,51000.0,89,4539000.0,2043000.0,1.01,4584000.0,2004
NV,14000.0,55,770000.0,316000.0,1.78,1371000.0,2004
NJ,12000.0,27,324000.0,45000.0,1.4,454000.0,2004
NM,8000.0,44,352000.0,127000.0,1.19,419000.0,2004
NY,64000.0,67,4288000.0,1887000.0,1.36,5832000.0,2004
NC,9000.0,40,360000.0,72000.0,1.93,695000.0,2004
ND,390000.0,78,30420000.0,9126000.0,1.05,31941000.0,2004
OH,16000.0,58,928000.0,353000.0,1.53,1420000.0,2004
OR,42000.0,54,2268000.0,1111000.0,1.21,2744000.0,2004
PA,30000.0,54,1620000.0,810000.0,1.42,2300000.0,2004
SD,215000.0,105,22575000.0,13545000.0,1.01,22801000.0,2004
TN,6000.0,54,324000.0,91000.0,1.73,561000.0,2004
TX,116000.0,76,8816000.0,1411000.0,0.97,8552000.0,2004
UT,24000.0,70,1680000.0,554000.0,1.1,1848000.0,2004
VT,6000.0,68,408000.0,192000.0,1.51,616000.0,2004
VA,7000.0,38,266000.0,69000.0,2.1,559000.0,2004
WA,56000.0,63,3528000.0,1376000.0,0.98,3457000.0,2004
WV,9000.0,55,495000.0,183000.0,1.41,698000.0,2004
WI,68000.0,86,5848000.0,2632000.0,1.19,6959000.0,2004
WY,39000.0,75,2925000.0,380000.0,1.1,3218000.0,2004
AL,13000.0,66,858000.0,266000.0,1.02,875000.0,2005
AZ,36000.0,50,1800000.0,720000.0,1.04,1872000.0,2005
AR,36000.0,69,2484000.0,571000.0,0.97,2409000.0,2005
CA,400000.0,75,30000000.0,9300000.0,0.86,25800000.0,2005
CO,28000.0,70,1960000.0,902000.0,0.97,1901000.0,2005
FL,160000.0,86,13760000.0,2477000.0,0.87,11971000.0,2005
GA,59000.0,49,2891000.0,434000.0,0.89,2573000.0,2005
HI,9000.0,131,1179000.0,283000.0,1.43,1686000.0,2005
ID,95000.0,37,3515000.0,1793000.0,0.8,2812000.0,2005
IL,8000.0,85,680000.0,408000.0,1.84,1251000.0,2005
IN,8000.0,64,512000.0,189000.0,1.18,604000.0,2005
IA,28000.0,88,2464000.0,1232000.0,1.21,2981000.0,2005
KS,16000.0,50,800000.0,328000.0,1.05,840000.0,2005
KY,5000.0,50,250000.0,40000.0,2.08,520000.0,2005
LA,35000.0,97,3395000.0,611000.0,0.72,2444000.0,2005
ME,8000.0,26,208000.0,193000.0,1.66,345000.0,2005
MI,65000.0,68,4420000.0,2519000.0,0.94,4155000.0,2005
MN,120000.0,74,8880000.0,1598000.0,0.9,7992000.0,2005
MS,16000.0,80,1280000.0,346000.0,0.67,858000.0,2005
MO,15000.0,50,750000.0,180000.0,1.22,915000.0,2005
MT,130000.0,67,8710000.0,3136000.0,0.86,7491000.0,2005
NE,40000.0,68,2720000.0,2530000.0,0.87,2366000.0,2005
NV,12000.0,46,552000.0,442000.0,3.11,1717000.0,2005
NJ,12000.0,32,384000.0,104000.0,1.2,461000.0,2005
NM,7000.0,49,343000.0,113000.0,1.03,353000.0,2005
NY,59000.0,73,4307000.0,2283000.0,1.34,5771000.0,2005
NC,10000.0,54,540000.0,146000.0,1.88,1015000.0,2005
ND,370000.0,91,33670000.0,8418000.0,0.83,27946000.0,2005
OH,15000.0,69,1035000.0,580000.0,1.4,1449000.0,2005
OR,39000.0,42,1638000.0,557000.0,1.08,1769000.0,2005
PA,28000.0,56,1568000.0,800000.0,1.12,1756000.0,2005
SD,220000.0,79,17380000.0,11818000.0,0.83,14425000.0,2005
TN,7000.0,55,385000.0,92000.0,1.67,643000.0,2005
TX,84000.0,71,5964000.0,954000.0,0.86,5129000.0,2005
UT,24000.0,45,1080000.0,346000.0,0.95,1026000.0,2005
VT,6000.0,91,546000.0,169000.0,1.12,612000.0,2005
VA,8000.0,37,296000.0,59000.0,2.2,651000.0,2005
WA,51000.0,55,2805000.0,1935000.0,1.01,2833000.0,2005
WV,8000.0,51,408000.0,102000.0,1.29,526000.0,2005
WI,64000.0,83,5312000.0,2922000.0,1.14,6056000.0,2005
WY,40000.0,56,2240000.0,291000.0,0.89,1994000.0,2005
AL,11000.0,72,792000.0,230000.0,1.21,958000.0,2006
AZ,30000.0,65,1950000.0,839000.0,0.91,1775000.0,2006
AR,32000.0,76,2432000.0,730000.0,0.89,2164000.0,2006
CA,380000.0,52,19760000.0,7706000.0,0.97,19167000.0,2006
CO,36000.0,75,2700000.0,1458000.0,1.04,2808000.0,2006
FL,170000.0,81,13770000.0,1790000.0,1.0,13770000.0,2006
GA,63000.0,74,4662000.0,746000.0,1.2,5594000.0,2006
HI,10000.0,93,930000.0,233000.0,1.21,1125000.0,2006
ID,95000.0,44,4180000.0,2592000.0,0.97,4055000.0,2006
IL,10000.0,66,660000.0,356000.0,2.14,1412000.0,2006
IN,7000.0,54,378000.0,125000.0,1.58,597000.0,2006
IA,26000.0,84,2184000.0,1441000.0,1.37,2992000.0,2006
KS,14000.0,55,770000.0,246000.0,1.17,901000.0,2006
KY,5000.0,56,280000.0,70000.0,2.19,613000.0,2006
LA,30000.0,90,2700000.0,675000.0,0.9,2430000.0,2006
ME,11000.0,23,253000.0,86000.0,1.6,405000.0,2006
MI,72000.0,55,3960000.0,2099000.0,1.15,4554000.0,2006
MN,125000.0,80,10000000.0,3300000.0,0.94,9400000.0,2006
MS,14000.0,98,1372000.0,453000.0,0.93,1276000.0,2006
MO,15000.0,46,690000.0,117000.0,0.98,676000.0,2006
MT,132000.0,79,10428000.0,1981000.0,0.95,9907000.0,2006
NE,47000.0,73,3431000.0,3843000.0,0.93,3191000.0,2006
NV,9000.0,37,333000.0,50000.0,3.62,1205000.0,2006
NJ,9000.0,36,324000.0,152000.0,1.14,369000.0,2006
NM,7000.0,48,336000.0,104000.0,1.19,400000.0,2006
NY,58000.0,64,3712000.0,2376000.0,1.3,4826000.0,2006
NC,10000.0,50,500000.0,215000.0,1.57,785000.0,2006
ND,350000.0,74,25900000.0,7770000.0,0.91,23569000.0,2006
OH,14000.0,56,784000.0,282000.0,1.4,1098000.0,2006
OR,46000.0,48,2208000.0,729000.0,1.05,2318000.0,2006
PA,28000.0,40,1120000.0,605000.0,1.63,1826000.0,2006
SD,225000.0,47,10575000.0,10575000.0,0.94,9941000.0,2006
TN,7000.0,55,385000.0,58000.0,1.84,708000.0,2006
TX,82000.0,70,5740000.0,976000.0,0.89,5109000.0,2006
UT,26000.0,50,1300000.0,299000.0,0.98,1274000.0,2006
VT,6000.0,56,336000.0,144000.0,1.2,403000.0,2006
VA,8000.0,42,336000.0,114000.0,2.2,739000.0,2006
WA,49000.0,52,2548000.0,1605000.0,1.24,3160000.0,2006
WV,6000.0,42,252000.0,68000.0,2.02,509000.0,2006
WI,64000.0,93,5952000.0,2500000.0,1.12,6666000.0,2006
WY,39000.0,85,3315000.0,497000.0,0.98,3249000.0,2006
AL,11000.0,56,616000.0,209000.0,1.49,918000.0,2007
AZ,30000.0,64,1920000.0,902000.0,1.26,2419000.0,2007
AR,28000.0,80,2240000.0,672000.0,0.95,2128000.0,2007
CA,340000.0,40,13600000.0,3672000.0,1.04,14144000.0,2007
CO,31000.0,51,1581000.0,838000.0,1.15,1818000.0,2007
FL,160000.0,71,11360000.0,1363000.0,0.99,11246000.0,2007
GA,60000.0,58,3480000.0,522000.0,1.19,4141000.0,2007
HI,10000.0,92,920000.0,285000.0,1.7,1564000.0,2007
ID,92000.0,41,3772000.0,1848000.0,1.15,4338000.0,2007
IL,9000.0,63,567000.0,374000.0,2.49,1412000.0,2007
IN,8000.0,53,424000.0,119000.0,1.5,636000.0,2007
IA,26000.0,81,2106000.0,1221000.0,1.31,2759000.0,2007
KS,14000.0,40,560000.0,196000.0,1.18,661000.0,2007
KY,4000.0,61,244000.0,54000.0,2.12,517000.0,2007
LA,29000.0,89,2581000.0,413000.0,1.08,2787000.0,2007
ME,9000.0,26,234000.0,59000.0,1.32,309000.0,2007
MI,72000.0,64,4608000.0,2350000.0,1.19,5484000.0,2007
MN,130000.0,68,8840000.0,2564000.0,1.04,9194000.0,2007
MS,15000.0,92,1380000.0,166000.0,0.91,1256000.0,2007
MO,14000.0,46,644000.0,148000.0,1.12,721000.0,2007
MT,135000.0,68,9180000.0,2479000.0,0.99,9088000.0,2007
NE,45000.0,49,2205000.0,1477000.0,1.03,2271000.0,2007
NV,10000.0,28,280000.0,67000.0,2.99,837000.0,2007
NJ,9000.0,57,513000.0,185000.0,1.96,1005000.0,2007
NM,6000.0,59,354000.0,138000.0,1.42,503000.0,2007
NY,53000.0,57,3021000.0,1843000.0,1.38,4169000.0,2007
NC,12000.0,45,540000.0,76000.0,2.49,1345000.0,2007
ND,420000.0,74,31080000.0,9013000.0,0.96,29837000.0,2007
OH,14000.0,61,854000.0,376000.0,1.77,1512000.0,2007
OR,46000.0,43,1978000.0,1088000.0,1.31,2591000.0,2007
PA,25000.0,42,1050000.0,326000.0,1.7,1785000.0,2007
SD,255000.0,52,13260000.0,10608000.0,1.02,13525000.0,2007
TN,7000.0,65,455000.0,114000.0,1.99,905000.0,2007
TX,105000.0,82,8610000.0,1550000.0,0.96,8266000.0,2007
UT,28000.0,42,1176000.0,270000.0,1.13,1329000.0,2007
VT,5000.0,64,320000.0,96000.0,1.7,544000.0,2007
VA,6000.0,46,276000.0,63000.0,2.43,671000.0,2007
WA,46000.0,44,2024000.0,648000.0,1.25,2530000.0,2007
WV,6000.0,48,288000.0,95000.0,2.09,602000.0,2007
WI,60000.0,84,5040000.0,3024000.0,1.22,6149000.0,2007
WY,43000.0,80,3440000.0,894000.0,1.0,3440000.0,2007
AL,9000.0,66,594000.0,214000.0,1.9,1129000.0,2008
AZ,25000.0,64,1600000.0,336000.0,1.26,2016000.0,2008
AR,28000.0,75,2100000.0,525000.0,1.35,2835000.0,2008
CA,360000.0,51,18360000.0,4039000.0,1.39,25520000.0,2008
CO,27000.0,45,1215000.0,656000.0,1.51,1835000.0,2008
FL,150000.0,79,11850000.0,1304000.0,1.32,15642000.0,2008
GA,65000.0,71,4615000.0,369000.0,1.52,7015000.0,2008
HI,10000.0,90,900000.0,225000.0,1.59,1431000.0,2008
ID,90000.0,40,3600000.0,1440000.0,1.46,5256000.0,2008
IL,8000.0,56,448000.0,116000.0,2.59,1160000.0,2008
IN,7000.0,67,469000.0,150000.0,1.68,788000.0,2008
IA,24000.0,62,1488000.0,580000.0,1.58,2351000.0,2008
KS,10000.0,61,610000.0,128000.0,1.55,946000.0,2008
KY,4000.0,39,156000.0,27000.0,2.44,381000.0,2008
LA,40000.0,77,3080000.0,493000.0,1.36,4189000.0,2008
ME,7000.0,42,294000.0,79000.0,1.57,462000.0,2008
MI,71000.0,73,5183000.0,2021000.0,1.44,7464000.0,2008
MN,122000.0,78,9516000.0,2569000.0,1.39,13227000.0,2008
MS,14000.0,98,1372000.0,110000.0,1.3,1784000.0,2008
MO,11000.0,53,583000.0,152000.0,1.68,979000.0,2008
MT,134000.0,70,9380000.0,4596000.0,1.37,12851000.0,2008
NE,36000.0,67,2412000.0,1254000.0,1.45,3497000.0,2008
NV,10000.0,29,290000.0,52000.0,1.42,412000.0,2008
NJ,9000.0,40,360000.0,122000.0,1.62,583000.0,2008
NM,6000.0,48,288000.0,95000.0,1.48,426000.0,2008
NY,50000.0,70,3500000.0,1260000.0,1.65,5775000.0,2008
NC,12000.0,52,624000.0,137000.0,2.18,1360000.0,2008
ND,400000.0,90,36000000.0,8640000.0,1.36,48960000.0,2008
OH,14000.0,53,742000.0,371000.0,1.68,1247000.0,2008
OR,50000.0,43,2150000.0,1097000.0,1.41,3032000.0,2008
PA,23000.0,48,1104000.0,276000.0,1.65,1822000.0,2008
SD,225000.0,95,21375000.0,11970000.0,1.34,28643000.0,2008
TN,7000.0,61,427000.0,149000.0,2.09,892000.0,2008
TX,77000.0,64,4928000.0,1380000.0,1.34,6604000.0,2008
UT,28000.0,48,1344000.0,242000.0,1.57,2110000.0,2008
VT,5000.0,66,330000.0,119000.0,2.2,726000.0,2008
VA,6000.0,42,252000.0,45000.0,2.42,610000.0,2008
WA,49000.0,44,2156000.0,862000.0,1.51,3256000.0,2008
WV,6000.0,43,258000.0,49000.0,2.16,557000.0,2008
WI,58000.0,80,4640000.0,2366000.0,1.5,6960000.0,2008
WY,39000.0,61,2379000.0,381000.0,1.37,3259000.0,2008
AL,9000.0,50,450000.0,68000.0,1.86,837000.0,2009
AZ,20000.0,52,1040000.0,562000.0,1.45,1508000.0,2009
AR,24000.0,57,1368000.0,301000.0,1.42,1943000.0,2009
CA,355000.0,33,11715000.0,2109000.0,1.39,16284000.0,2009
CO,28000.0,53,1484000.0,326000.0,1.43,2122000.0,2009
FL,170000.0,68,11560000.0,1618000.0,1.42,16415000.0,2009
GA,65000.0,41,2665000.0,346000.0,1.47,3918000.0,2009
HI,10000.0,95,950000.0,323000.0,1.76,1672000.0,2009
ID,103000.0,46,4738000.0,1706000.0,1.52,7202000.0,2009
IL,8000.0,34,272000.0,57000.0,2.55,694000.0,2009
IN,9000.0,32,288000.0,101000.0,2.02,582000.0,2009
IA,26000.0,42,1092000.0,339000.0,1.6,1747000.0,2009
KS,9000.0,63,567000.0,164000.0,1.85,1049000.0,2009
KY,5000.0,35,175000.0,25000.0,2.71,474000.0,2009
LA,37000.0,103,3811000.0,610000.0,1.36,5183000.0,2009
ME,6000.0,50,300000.0,51000.0,1.95,585000.0,2009
MI,66000.0,60,3960000.0,1505000.0,1.55,6138000.0,2009
MN,122000.0,65,7930000.0,1427000.0,1.44,11419000.0,2009
MS,14000.0,104,1456000.0,87000.0,1.32,1922000.0,2009
MO,11000.0,47,517000.0,57000.0,1.99,1029000.0,2009
MT,146000.0,70,10220000.0,3577000.0,1.46,14921000.0,2009
NE,48000.0,56,2688000.0,1102000.0,1.46,3924000.0,2009
NJ,11000.0,32,352000.0,70000.0,2.36,831000.0,2009
NM,7000.0,60,420000.0,143000.0,1.59,668000.0,2009
NY,45000.0,65,2925000.0,936000.0,1.93,5645000.0,2009
NC,11000.0,45,495000.0,84000.0,2.57,1272000.0,2009
ND,450000.0,77,34650000.0,7623000.0,1.38,47817000.0,2009
OH,11000.0,50,550000.0,132000.0,2.81,1546000.0,2009
OR,55000.0,34,1870000.0,767000.0,1.54,2880000.0,2009
PA,21000.0,40,840000.0,319000.0,2.03,1705000.0,2009
SD,270000.0,66,17820000.0,6237000.0,1.42,25304000.0,2009
TN,7000.0,51,357000.0,86000.0,2.37,846000.0,2009
TX,89000.0,63,5607000.0,1065000.0,1.39,7794000.0,2009
UT,26000.0,38,988000.0,198000.0,1.46,1442000.0,2009
VT,5000.0,49,245000.0,69000.0,2.01,492000.0,2009
VA,6000.0,39,234000.0,56000.0,3.45,807000.0,2009
WA,62000.0,44,2728000.0,1064000.0,1.58,4310000.0,2009
WV,5000.0,37,185000.0,33000.0,2.6,481000.0,2009
WI,63000.0,60,3780000.0,1588000.0,1.58,5972000.0,2009
WY,37000.0,48,1776000.0,391000.0,1.43,2540000.0,2009
AL,9000.0,54,486000.0,73000.0,2.4,1166000.0,2010
AZ,24000.0,77,1848000.0,665000.0,1.52,2809000.0,2010
AR,25000.0,60,1500000.0,360000.0,1.47,2205000.0,2010
CA,410000.0,67,27470000.0,6318000.0,1.55,42579000.0,2010
CO,34000.0,56,1904000.0,533000.0,1.52,2894000.0,2010
FL,200000.0,69,13800000.0,1794000.0,1.56,21528000.0,2010
GA,55000.0,46,2530000.0,152000.0,1.67,4225000.0,2010
HI,10000.0,77,770000.0,239000.0,2.75,2118000.0,2010
ID,97000.0,27,2619000.0,1179000.0,1.61,4217000.0,2010
IL,9000.0,41,369000.0,92000.0,2.78,1026000.0,2010
IN,10000.0,43,430000.0,151000.0,2.23,959000.0,2010
IA,27000.0,49,1323000.0,463000.0,1.92,2540000.0,2010
KS,9000.0,52,468000.0,103000.0,2.02,945000.0,2010
KY,5000.0,67,335000.0,67000.0,2.72,911000.0,2010
LA,36000.0,80,2880000.0,288000.0,1.5,4320000.0,2010
ME,5000.0,41,205000.0,33000.0,2.05,420000.0,2010
MI,71000.0,58,4118000.0,1524000.0,1.67,6877000.0,2010
MN,128000.0,66,8448000.0,1774000.0,1.55,13094000.0,2010
MS,16000.0,98,1568000.0,78000.0,1.44,2258000.0,2010
MO,11000.0,52,572000.0,92000.0,1.8,1030000.0,2010
MT,157000.0,74,11618000.0,2905000.0,1.58,18356000.0,2010
NE,41000.0,55,2255000.0,902000.0,1.51,3405000.0,2010
NJ,13000.0,35,455000.0,73000.0,1.9,865000.0,2010
NM,7000.0,66,462000.0,157000.0,1.58,730000.0,2010
NY,45000.0,64,2880000.0,1123000.0,1.96,5645000.0,2010
NC,13000.0,46,598000.0,144000.0,2.66,1591000.0,2010
ND,510000.0,91,46410000.0,12995000.0,1.5,69615000.0,2010
OH,18000.0,62,1116000.0,346000.0,2.28,2544000.0,2010
OR,59000.0,39,2301000.0,874000.0,1.63,3751000.0,2010
PA,30000.0,37,1110000.0,377000.0,2.13,2364000.0,2010
SD,265000.0,58,15370000.0,4765000.0,1.51,23209000.0,2010
TN,8000.0,63,504000.0,106000.0,2.5,1260000.0,2010
TX,100000.0,72,7200000.0,792000.0,1.51,10872000.0,2010
UT,26000.0,30,780000.0,195000.0,1.53,1193000.0,2010
VT,4000.0,65,260000.0,73000.0,3.1,806000.0,2010
VA,5000.0,37,185000.0,37000.0,3.32,614000.0,2010
WA,71000.0,37,2627000.0,1077000.0,1.57,4124000.0,2010
WV,5000.0,40,200000.0,40000.0,2.39,478000.0,2010
WI,64000.0,64,4096000.0,1556000.0,1.68,6881000.0,2010
WY,34000.0,36,1224000.0,282000.0,1.59,1946000.0,2010
AL,9000.0,50,450000.0,63000.0,2.51,1130000.0,2011
AZ,23000.0,53,1219000.0,427000.0,1.55,1889000.0,2011
AR,22000.0,64,1408000.0,239000.0,1.62,2281000.0,2011
CA,370000.0,48,17760000.0,3730000.0,1.65,29304000.0,2011
CO,31000.0,55,1705000.0,443000.0,2.0,3410000.0,2011
FL,180000.0,61,10980000.0,988000.0,1.68,18446000.0,2011
GA,65000.0,43,2795000.0,196000.0,1.65,4612000.0,2011
HI,9000.0,74,666000.0,246000.0,3.65,2431000.0,2011
ID,87000.0,36,3132000.0,1879000.0,1.78,5575000.0,2011
IL,7000.0,50,350000.0,98000.0,3.9,1365000.0,2011
IN,8000.0,51,408000.0,147000.0,2.14,873000.0,2011
IA,25000.0,62,1550000.0,961000.0,1.96,3038000.0,2011
KS,7000.0,44,308000.0,117000.0,2.15,662000.0,2011
KY,4000.0,39,156000.0,12000.0,3.17,495000.0,2011
LA,36000.0,77,2772000.0,471000.0,1.67,4629000.0,2011
ME,4000.0,30,120000.0,17000.0,1.98,238000.0,2011
MI,74000.0,64,4736000.0,2084000.0,1.81,8572000.0,2011
MN,120000.0,53,6360000.0,2099000.0,1.63,10367000.0,2011
MS,18000.0,115,2070000.0,104000.0,1.53,3167000.0,2011
MO,8000.0,43,344000.0,76000.0,2.14,736000.0,2011
MT,145000.0,92,13340000.0,3202000.0,1.7,22678000.0,2011
NE,41000.0,59,2419000.0,653000.0,1.75,4233000.0,2011
NJ,11000.0,41,451000.0,135000.0,3.7,1669000.0,2011
NM,7000.0,56,392000.0,153000.0,1.69,662000.0,2011
NY,49000.0,56,2744000.0,1235000.0,1.96,5378000.0,2011
NC,14000.0,62,868000.0,95000.0,2.83,2456000.0,2011
ND,460000.0,71,32660000.0,7512000.0,1.67,54542000.0,2011
OH,15000.0,66,990000.0,228000.0,2.34,2317000.0,2011
OR,60000.0,34,2040000.0,755000.0,1.68,3427000.0,2011
PA,24000.0,44,1056000.0,306000.0,2.55,2693000.0,2011
SD,250000.0,66,16500000.0,4290000.0,1.7,28050000.0,2011
TN,7000.0,44,308000.0,68000.0,2.93,902000.0,2011
TX,78000.0,58,4524000.0,633000.0,1.78,8053000.0,2011
UT,23000.0,39,897000.0,170000.0,1.75,1570000.0,2011
VT,4000.0,43,172000.0,43000.0,2.31,397000.0,2011
VA,4000.0,40,160000.0,21000.0,4.07,651000.0,2011
WA,71000.0,38,2698000.0,836000.0,1.93,5207000.0,2011
WV,4000.0,53,212000.0,45000.0,2.57,545000.0,2011
WI,57000.0,63,3591000.0,1508000.0,1.89,6787000.0,2011
WY,35000.0,54,1890000.0,265000.0,1.72,3251000.0,2011
AL,8000.0,54,432000.0,65000.0,2.47,1067000.0,2012
AZ,22000.0,46,1012000.0,253000.0,1.79,1811000.0,2012
AR,25000.0,63,1575000.0,189000.0,1.98,3119000.0,2012
CA,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,2012
CO,25000.0,48,1200000.0,468000.0,2.07,2484000.0,2012
FL,193000.0,64,12352000.0,1235000.0,1.84,22728000.0,2012
GA,59000.0,51,3009000.0,181000.0,1.92,5777000.0,2012
HI,10000.0,75,750000.0,263000.0,4.15,3113000.0,2012
ID,92000.0,32,2944000.0,530000.0,1.63,4799000.0,2012
IL,7000.0,61,427000.0,145000.0,3.55,1516000.0,2012
IN,8000.0,59,472000.0,203000.0,2.54,1199000.0,2012
IA,37000.0,61,2257000.0,1196000.0,2.17,4898000.0,2012
KS,6000.0,55,330000.0,125000.0,2.28,752000.0,2012
KY,5000.0,51,255000.0,41000.0,3.15,803000.0,2012
LA,41000.0,86,3526000.0,141000.0,1.83,6453000.0,2012
ME,4000.0,34,136000.0,24000.0,2.39,325000.0,2012
MI,73000.0,57,4161000.0,1332000.0,2.03,8447000.0,2012
MN,125000.0,67,8375000.0,1591000.0,1.92,16080000.0,2012
MS,18000.0,118,2124000.0,64000.0,1.77,3759000.0,2012
MO,7000.0,53,371000.0,108000.0,2.8,1039000.0,2012
MT,145000.0,52,7540000.0,2413000.0,1.95,14703000.0,2012
NE,43000.0,65,2795000.0,1146000.0,1.93,5394000.0,2012
NJ,14000.0,33,462000.0,51000.0,1.97,910000.0,2012
NM,5000.0,52,260000.0,99000.0,3.39,881000.0,2012
NY,51000.0,51,2601000.0,988000.0,2.23,5800000.0,2012
NC,13000.0,39,507000.0,106000.0,3.76,1906000.0,2012
ND,480000.0,69,33120000.0,5962000.0,1.92,63590000.0,2012
OH,18000.0,60,1080000.0,410000.0,2.46,2657000.0,2012
OR,60000.0,32,1920000.0,845000.0,2.16,4147000.0,2012
PA,16000.0,60,960000.0,269000.0,2.57,2467000.0,2012
SD,260000.0,63,16380000.0,3604000.0,1.95,31941000.0,2012
TN,6000.0,61,366000.0,59000.0,2.93,1072000.0,2012
TX,92000.0,52,4784000.0,718000.0,2.0,9568000.0,2012
UT,25000.0,38,950000.0,209000.0,1.87,1777000.0,2012
VT,4000.0,60,240000.0,53000.0,2.39,574000.0,2012
VA,4000.0,41,164000.0,23000.0,3.77,618000.0,2012
WA,62000.0,41,2542000.0,1017000.0,2.38,6050000.0,2012
WV,6000.0,48,288000.0,95000.0,2.91,838000.0,2012
WI,60000.0,69,4140000.0,1863000.0,2.05,8487000.0,2012
WY,50000.0,51,2550000.0,459000.0,1.87,4769000.0,2012
AL,7000.0,52,364000.0,55000.0,2.81,1023000.0,2013
AZ,29000.0,36,1044000.0,251000.0,1.89,1973000.0,2013
AR,22000.0,60,1320000.0,66000.0,2.01,2653000.0,2013
CA,330000.0,33,10890000.0,2505000.0,2.1,22869000.0,2013
CO,26000.0,43,1118000.0,324000.0,2.1,2348000.0,2013
FL,220000.0,61,13420000.0,1074000.0,2.04,27377000.0,2013
GA,67000.0,50,3350000.0,637000.0,2.24,7504000.0,2013
HI,13000.0,83,1079000.0,65000.0,1.98,2136000.0,2013
ID,83000.0,32,2656000.0,1036000.0,2.01,5339000.0,2013
IL,7000.0,48,336000.0,101000.0,4.15,1394000.0,2013
IN,6000.0,47,282000.0,82000.0,2.67,753000.0,2013
IA,39000.0,48,1872000.0,1217000.0,2.54,4755000.0,2013
KS,6000.0,46,276000.0,39000.0,2.55,704000.0,2013
KY,3000.0,41,123000.0,17000.0,3.02,371000.0,2013
LA,50000.0,98,4900000.0,490000.0,1.83,8967000.0,2013
ME,7000.0,43,301000.0,27000.0,3.03,912000.0,2013
MI,85000.0,55,4675000.0,982000.0,2.13,9958000.0,2013
MN,130000.0,58,7540000.0,1282000.0,1.97,14854000.0,2013
MS,17000.0,116,1972000.0,39000.0,1.85,3648000.0,2013
MO,10000.0,47,470000.0,85000.0,2.53,1189000.0,2013
MT,159000.0,94,14946000.0,5231000.0,2.08,31088000.0,2013
NE,46000.0,60,2760000.0,1628000.0,2.06,5686000.0,2013
NJ,11000.0,44,484000.0,34000.0,3.89,1883000.0,2013
NY,55000.0,48,2640000.0,1030000.0,1.99,5254000.0,2013
NC,10000.0,38,380000.0,84000.0,3.63,1379000.0,2013
ND,480000.0,69,33120000.0,6955000.0,2.04,67565000.0,2013
OH,17000.0,45,765000.0,390000.0,3.21,2456000.0,2013
OR,62000.0,35,2170000.0,456000.0,2.29,4969000.0,2013
PA,13000.0,45,585000.0,257000.0,2.98,1743000.0,2013
